Architecture,Optimizer,Train_R2_1,Train_R2_2,Train_R2_3,Train_R2_4,Train_R2_5,Test_R2_1,Test_R2_2,Test_R2_3,Test_R2_4,Test_R2_5
3,trainlm,97.3125040405198,98.5430403210344,98.2423702872017,96.0009366191495,99.104718191025,96.1431555898502,98.1773749444442,98.1592462343984,92.4813506140138,99.2416571487841
4,trainlm,98.9740588259293,99.1354516831005,99.2056805581635,97.7217473989211,99.3014480194597,98.7326278798282,98.3711613930743,98.39548619371,94.781915338477,98.7558348919249
5,trainlm,98.8278776193435,98.9730726434483,99.2233337632794,97.1464379004729,99.2466189707001,98.97491400346,98.9188933779168,97.9028336364308,94.7865997261449,98.6963318870889
6,trainlm,98.8593799718421,98.8940017974381,99.1890800276809,97.0186317326067,99.2129990182285,98.6094297370747,98.6718297717149,99.0452176380109,97.1496721366687,98.7152428612874
7,trainlm,98.4280158992667,99.0220207890483,99.2809669892734,97.4483411143318,99.2044914651012,98.4466539498078,98.7549164927702,98.7687860900552,96.4110273898962,99.1227581303086
8,trainlm,98.0344878150167,98.3680178596729,98.7567539470557,96.3972620395519,98.9945476490089,98.1542181567474,98.3058086084258,98.6705398174967,95.2354997147932,98.8114988303308
9,trainlm,99.0059473171202,98.8388337483192,99.3192624065527,97.6812858406986,99.2154729956152,98.7122647880973,98.6582339374153,98.7163201390863,96.1577972832937,98.8920951499953
10,trainlm,97.7623440513376,98.406148111818,99.1010109589445,96.4898508636048,99.0421384953428,98.4620097685331,98.6381894375332,98.8616466928994,96.536963563532,98.7453349137376
3,traingd,87.1936822552629,95.5885635054478,98.5642076690621,96.30852122905,98.207081211412,87.0820424401609,96.0650515625326,98.9579752261809,96.8780934915994,97.7656053273713
4,traingd,91.7286082275591,91.8454222361438,99.1259398575579,96.3773075001201,98.1806735188119,92.9225788630364,93.0330989944487,98.8526108929138,96.5620325302313,98.6483599036752
5,traingd,93.3149794202501,95.44868283028,98.7534790091134,96.750303906193,98.6450584635239,92.3973230929576,95.6923680175094,98.7125411174227,96.3583680804392,98.0525313935282
6,traingd,90.3435284297941,95.3671643321614,99.0410585193995,96.6441437876354,98.6505951968279,90.4199041374189,95.6836233180545,99.1652860754448,96.028091435537,99.0882275949195
7,traingd,91.8862326546471,93.8923567595025,99.2291331508092,97.1015056751602,98.9157834535379,91.8971078485288,94.2372454021605,99.2278899989878,97.0340342570247,98.7994639595425
8,traingd,92.0428713164926,96.4090435870153,99.0838235713515,96.9568418576946,99.0363715601465,93.1377084473,96.0240738133126,99.0398835215007,96.6710522167423,98.4474056235827
9,traingd,94.9431888582099,97.483252676063,99.133403754572,96.1782157981264,98.7390130938624,92.235802485294,97.2656415185835,98.8335872461111,96.2804562689941,98.7312402181647
10,traingd,96.6040951494921,95.8121789065521,98.3283592164505,96.9883346016511,98.3641126615436,96.8003630819881,96.5970980903017,98.3787775287257,97.1908420144373,97.8561035117114
3,traingda,95.7951033212885,94.6955331829275,99.0020477668491,96.7855188011952,98.4012946659386,95.8080776123427,89.0032459873361,98.7968243622143,95.4881007138768,97.7823216927217
4,traingda,95.4110591187365,91.806103862505,99.1236997885184,96.9638400339446,98.79715550169,95.5249688320662,91.4745363778945,99.0103148993019,97.063139329876,98.5637742561239
5,traingda,97.5369149849416,96.5877847402485,99.1859179143839,97.0141928079096,98.9300280917687,97.8283693280164,96.524535963244,98.8563479173006,95.5044643238775,98.5851471883941
6,traingda,89.5308695257412,95.1882266078173,98.8103564229018,96.5928539709656,98.9909584637031,88.2519072085916,94.7345282572137,97.731921857355,96.9439950650734,98.9724327744485
7,traingda,96.1673261203874,97.4145739943746,99.1488901676838,96.8501426368573,98.3753092763633,97.3850124542411,96.7977058278136,99.0239923369852,96.9860219207032,98.2181601544619
8,traingda,96.2100945971237,98.6394186228941,99.0223837045236,97.2588490994471,98.6714116074174,95.1580462043884,98.633568802228,99.2399840024855,96.4953236097696,98.637691179192
9,traingda,93.5335371578699,96.332469393427,99.1743921721253,96.9169961088622,98.8158305073863,94.7295784384128,96.0527349178646,98.8232430812862,96.6578469097261,98.8920632995593
10,traingda,95.2162948161095,97.5371314256242,99.0604560165667,97.1556915254404,98.8850620618636,97.1344609384051,97.1629614910691,99.0980744802528,96.8098282899648,99.0126314829927
3,trainrp,98.2511161039674,98.5271118468191,99.2521197536548,97.4417144744371,98.8934738105817,98.0174689400789,98.3322512947731,98.613031377492,95.0004326575223,98.5655299667249
4,trainrp,98.6945897157418,98.8034260372017,99.2888416832664,97.3892146856953,99.0719890227421,98.4585544879755,98.9667549930744,99.0621810604921,97.0994020146413,98.8836091831178
5,trainrp,96.6567442784977,98.3798335613328,99.1324992217889,96.1491433914294,98.648581554725,97.5787206000491,98.6025655354229,98.905172126177,96.3948481749866,98.5527540209257
6,trainrp,98.1402272610251,98.398455452157,99.1561969934542,96.9705565342401,98.7685715238201,97.9989561721335,97.9528140115013,98.7176422303557,96.2072042701085,98.6785824682929
7,trainrp,98.6986936963837,98.424217607997,99.2902260830627,97.2230253932862,99.1436163476202,98.3125322435788,98.3735651848797,99.0805969310808,96.8868166879253,99.0022026294752
8,trainrp,98.449187505815,97.9899192763532,99.1120726583487,96.6554396602865,99.0579663967081,98.0429951000122,97.4012067780892,98.9241318661387,96.7728429926754,99.0106976733194
9,trainrp,97.9749360426633,98.5409836448688,99.2137591936275,96.9953003307705,99.0320757827274,98.109807989687,98.7761965688931,99.1111702578452,96.055779410716,99.014371506675
10,trainrp,98.3664084533872,97.9473121447744,99.0205193769389,96.9809774947666,98.9880416201567,98.1906049119752,98.460623566522,98.9905100771035,96.9147657172914,98.9881408763083
